question_formal,question_conversational,answer,context,page,chunck
لماذا تصدر الميزانية العامة؟,ليش يطلعون الميزانية العامة؟,"يعـرض تفاصيـل الميزانيـة المعتمـدة علـى جانب الايرادات، والنفقات بحسـب التصنيف الاقتصـادي، وبحسـب القطاعـات وأهـم المشـاريع والبرامـج، كمـا يعـرض مسـتويات عجـز أو فائـض الميزانيـة والديـن العـام. كمـا يسـتعرض هـذا البيـان أبرز التطـورات المالية والاقتصاديــة لعــام 2023م، والاطــار المالــي والافــاق المســتقبلية لالقتصــاد علــى المــدى المتوســط، وأهــم الاســتراتيجيات والممكنــات الاقتصاديــة، وأهــم التحديــات التـي تواجـه الاقتصـاد خـال العـام المالـي القـادم وعلـى المـدى المتوسـط.","تصــدر وزارة الماليــة بيــان الميزانيــة العامــة للدولــة للعــام المالــي 2024م، الــذي
يعـرض تفاصيـل الميزانيـة المعتمـدة علـى جانب الإيرادات، والنفقات بحسـب التصنيف
الاقتصـادي، وبحسـب القطاعـات وأهـم المشـاريع والبرامـج، كمـا يعـرض مسـتويات
عجـز أو فائـض الميزانيـة والديـن العـام. كمـا يسـتعرض هـذا البيـان أبرز التطـورات المالية
والاقتصاديــة لعــام 2023م، والإطــار المالــي والآفــاق المســتقبلية للاقتصــاد علــى
المــدى المتوســط، وأهــم الاســتراتيجيات والممكنــات الاقتصاديــة، وأهــم التحديــات
التـي تواجـه الاقتصـاد خـال العـام المالـي القـادم وعلـى المـدى المتوسـط. ",٣,6
ما الذي يعززه اصدار البيان؟,وش الفايدة من البيان اللي يطلعونه؟,مســتوى الافصــاح المالــي والشــفافية,"يعكــس البيــان وفقً ــا للتوجيهــات الكريمــة اســتمرار نهــج وزارة الماليــة فــي تعزيــز مســتوى الافصــاح المالــي والشــفافية، التــي تعــد إحــدى الركائــز فــي عمليــة تطويــر إعـداد وتنفيـذ الميزانيـة العامـة للدولـة، مـع رفـع كفـاءة إدارة الماليـة العامـة. ويتبـع تبويــب البيانــات الماليــة الــواردة فــي هــذه الوثيقــة دليــل إحصــاءات ماليــة الحكومــة )2014 GFSM )الصــادر مــن صنــدوق النقــد الدولــي وهــو تصنيــف عالمــي موحــد، ووفــق الاســاس النقــدي.",٣,8
هل تتبع الوثيقة أي تصنيف عالمي؟,هل فيه تصنيف عالمي للميزانية؟,GFSM 2014,"يعكــس البيــان وفقً ــا للتوجيهــات الكريمــة اســتمرار نهــج وزارة الماليــة فــي تعزيــز مســتوى الافصــاح المالــي والشــفافية، التــي تعــد إحــدى الركائــز فــي عمليــة تطويــر إعـداد وتنفيـذ الميزانيـة العامـة للدولـة، مـع رفـع كفـاءة إدارة الماليـة العامـة. ويتبـع تبويــب البيانــات الماليــة الــواردة فــي هــذه الوثيقــة دليــل إحصــاءات ماليــة الحكومــة )2014 GFSM )الصــادر مــن صنــدوق النقــد الدولــي وهــو تصنيــف عالمــي موحــد، ووفــق الاســاس النقــدي.",٣,9
لماذا اطلقت مناطق اقتصادية؟,وش السبب ورا انشاء مناطق اقتصادية؟,لتُ ســاهم فــي دعــم االقتصــاد المحلــي والمنشــآت الصغيــرة والمتوســطة فــي مناطــق المملكــة المختلفــة وتعزيــز االبتــكار.,"كمــا تواصــل الحكومــة دعــم تنويــع القاعــدة االقتصاديــة للمملكــة؛ عبــر إطــاق العديــد مــن
البرامــج والمبــادرات؛ لالســتفادة مــن كافــة المــوارد واغتنــام الفــرص المتاحــة لتنميــة وتطويــر
القطاعـات المختلفـة. إذ أطلقـت أربـع مناطـق اقتصاديـة خاصـة ترتكـز علـى المزايـا التنافسـية لـكل
منطقــة؛ لتســاهم فــي دعــم االقتصــاد المحلــي والمنشــآت الصغيــرة والمتوســطة فــي مناطــق
المملكــة المختلفــة وتعزيــز االبتــكار.",٤,11
ما دور صندوق الاستثمارات العامة في تحقيق رؤية ٢٠٣٠؟,وش دور صندوق الاستثمارات العامة في تحقيق رؤية ٢٠٣٠؟,"تطويــر ً مشـاريع كبـرى رائـدة محلي ً ـا وعالميـا، وإطـاق قطاعـات جديـدة تسـاهم فـي تحقيـق مسـتهدفات التنــوع االقتصــادي.","وتعــزز الممكنــات االقتصاديــة الداعمــة لنمــو القطــاع الخــاص دورهــا فــي تنامــي اقتصــاد المملكــة علــى المدييــن المتوســط والطويــل، حيــث تســعى المملكــة نحــو تحقيــق مســتهدفات رؤيـة السـعودية 2030؛ عبـر مجموعـة مـن األذرع االسـتثمارية، منهـا صنـدوق االسـتثمارات العامـة الــذي يعــد أحــد المحــركات األساســية لالقتصــاد واالســتثمار فــي المملكــة؛ وذلــك عبــر تطويــر ً مشـاريع كبـرى رائـدة محلي ً ـا وعالميـا، وإطـاق قطاعـات جديـدة تسـاهم فـي تحقيـق مسـتهدفات التنــوع االقتصــادي.",٤,12
ما نسبة التغير في الناتج المحلي للانشطة غير النفطية للنصف الأول من عام ٢٠٢٣ مقارنة بالسنة السابقة؟,كم تغير الناتج المحلي للأنشطة الغير نفطية في النصف الأول من ٢٠٢٣ مقارنة بالسنة اللي قبلها؟,٢.٥٠%,"أظهـرت البيانـات الفعليـة خـال النصـف األول مـن العـام 2023م نمـو الناتـج المحلـي اإلجمالي الحقيقـي بنسـبة 2.5 ً % مقارنـة بالفتـرة المماثلـة مـن العـام الماضـي، مدعومـا بنمـو األنشـطة غيـر النفطيـة بمعـدل ،%5.4 كانعـكاسٍ ناجـح لجهـود المملكـة فـي تعزيـز دور القطـاع الخـاص ليقـود
النمــو فــي اقتصــاد المملكــة.",٤,13
لماذا انخفض الناتج المحلي للانشطة النفطية في النصف الأول من عام ٢٠٢٣؟,ليش قل الناتج المحلي للأنشطة النفطية في النصف الأول من ٢٠٢٣؟,يعـزى ذلـك اللتـزام المملكـة بالخفـض الطوعـي لحصـص اإلنتـاج المتفـق عليهـا ضمـن اتفاقيـة أوبـك بلـس,"بينمــا شــهد الناتــج المحلــي لألنشــطة النفطيــة انخفاضً ــا بمعــدل %1.3 للفتـرة نفسـها، ويعـزى ذلـك اللتـزام المملكـة بالخفـض الطوعـي لحصـص اإلنتـاج المتفـق عليهـا ضمـن اتفاقيـة أوبـك بلـس.",٥,14
ما معدل التضخم المتوقع بنهاية ٢٠٢٣؟,كم تتوقعون يكون التضخم بنهاية ٢٠٢٣؟,٢.٦٠%,"وفيمــا يخــص المســتوى العــام ألســعار المســتهلك، فمــن المتوقــع أن يصــل متوســط معــدل التضخــم إلـى %2.6 بنهايـة العـام 2023 ً م، ويعـد هـذا المعـدل منخفضً ـا نسـبيا مقارنـة بالتضخـم العالمـي.",٥,17
ما اجمالي الإيرادات المتوقعة لعام ٢٠٢٣؟,كم تتوقعون تكون الإيرادات كلها في ٢٠٢٣؟,١١٩٣ مليار,"أمــا علــى جانــب تطــورات األداء المالــي فــي عــام 2023م، فمــن المتوقــع أن يبلــغ إجمالــي اإليـرادات حوالـي 1,193 مليـار ريـال بارتفـاع نسـبته %5.6 مقارنـة بالمقـدر فـي الميزانيـة؛ ويعـود ذلــك إلــى نمــو اإليــرادات غيــر النفطيــة والتــي تعكــس نمــو األنشــطة االقتصاديــة غيــر النفطيــة، والتطويــر المســتمر فــي اإلدارة الضريبيــة وتحســن إجــراءات التحصيــل.",٥,18
ما نسبة تطابق الانفاق الحكومي للميزانية المعتمدة؟,هل الإنفاق الحكومي ماشي صح على الميزانية المعتمدة؟,ارتفاع ١٤.٥٪,"ومـن المقـدر أن يبلـغ إجمالـي النفقـات لعـام 2023م حوالـي 1,275 ً مليـار ريـال مرتفعـا بنسـبة %14.5 عـن الميزانيـة المعتمـدة؛ ويعـزى هـذا االرتفـاع بشـكل رئيـس إلـى حـرص الحكومـة علـى حمايــة المواطنيــن مــن موجــة التضخــم المســتمرة التــي يشــهدها االقتصــاد العالمــي عبــر تعزيــز
اإلنفـاق االجتماعـي، مـع االسـتمرار فـي تطويـر مسـتوى الخدمـات العامـة المقدمـة للمواطنيـن
والمقيميـن، باإلضافـة إلـى مواصلـة تنفيـذ العديـد مـن المشـاريع واالسـتراتيجيات التـي مـن شـأنها
أن تحقـق تغيـرات هيكليـة إيجابيـة تـؤدي إلـى توسـيع وتنويـع القاعـدة االقتصاديـة. ",٥,20
ما هي خطة الانفاق للأعوام القادمة؟,وش خطتكم للإنفاق في السنين الجاية؟,"تعتــزم الحكومــة خــال العــام القــادم وعلــى المــدى المتوســط عبــر سياســاتها الماليــة علــى ّ التوس ّ ــع فــي مســتويات اإلنفــاق الموج ّ ــه بشــكل رئيســي إلــى البرامــج والمشــاريع التنمويــة واالسـتراتيجيات المناطقيـة والقطاعيـة الدافعـة لتعزيـز النمـو االقتصـادي المسـتدام، باإلضافـة إلـى تحسـين ورفـع جـودة الخدمـات العامـة وتطويـر البنيـة التحتيـة فـي مختلـف مناطـق المملكـة؛ ممــا يســاهم فــي رفــع جــودة الحيــاة وفقً ــا لرؤيــة الســعودية ،2030 باإلضافــة إلــى تمكيــن القطـاع الخـاص وتحفيـز البيئـة االسـتثمارية، واالسـتمرار فـي تحسـين منظومـة الدعـم واإلعانـات االجتماعيــة.","تعتــزم الحكومــة خــال العــام القــادم وعلــى المــدى المتوســط عبــر سياســاتها الماليــة علــى ّ التوس ّ ــع فــي مســتويات اإلنفــاق الموج ّ ــه بشــكل رئيســي إلــى البرامــج والمشــاريع التنمويــة واالسـتراتيجيات المناطقيـة والقطاعيـة الدافعـة لتعزيـز النمـو االقتصـادي المسـتدام، باإلضافـة إلـى تحسـين ورفـع جـودة الخدمـات العامـة وتطويـر البنيـة التحتيـة فـي مختلـف مناطـق المملكـة؛ ممــا يســاهم فــي رفــع جــودة الحيــاة وفقً ــا لرؤيــة الســعودية ،2030 باإلضافــة إلــى تمكيــن القطـاع الخـاص وتحفيـز البيئـة االسـتثمارية، واالسـتمرار فـي تحسـين منظومـة الدعـم واإلعانـات االجتماعيــة.",٦,21
ما العجز المتوقع لعام ٢٠٢٤؟,كم تتوقعون يكون العجز في ٢٠٢٤؟,ومـن المقـدر أن يبلـــغ عجـــز الميزانيـــة فـي العـام 2024م نحـــو 79 مليـار ريـال )مـا نسـبته %1.9 مـــن الناتـــج المحلـــي اإلجمالـي(,تشــير التقديــرات المحدثــة لميزانيــة العــام 2023م إلــى تحقيــق عجــز متوقــع بنحــو 82 مليــار ريـال )مـا نسـبته %2.0 مـن الناتـج المحلـي اإلجمالـي( ومـن المقـدر أن يبلـــغ عجـــز الميزانيـــة فـي العـام 2024م نحـــو 79 مليـار ريـال )مـا نسـبته %1.9 مـــن الناتـــج المحلـــي اإلجمالـي( مـع توقعـات ً اســتمراره عنــد هــذه المســتويات علــى المــدى المتوســط انعكاســا لتوجــه الحكومــة فــي تبنــي ّ اإلنفــاق التوســعي.,٦,23
هل تنوي الحكومة الاقتراض في العام القادم؟,هل الحكومة بتقترض السنة الجاية؟,"مــن المتوقــع
االسـتمرار فـي عمليـات االقتـراض المحليـة والخارجيـة لتمويـل العجـز المتوقع في الميزانية وسـداد
أصـل الديـن المسـتحق خـال العـام 2023م وعلـى المـدى المتوسـط","وتلبيــة لالحتياجــات التمويليــة، ووفقً ــا لخطــة االقتــراض الســنوية المعتمــدة؛ مــن المتوقــع االسـتمرار فـي عمليـات االقتـراض المحليـة والخارجيـة لتمويـل العجـز المتوقع في الميزانية وسـداد أصـل الديـن المسـتحق خـال العـام 2023م وعلـى المـدى المتوسـط، واالسـتفادة مـن الفـرص المتاحـة حسـب ظـروف األسـواق؛ لتنفيـذ عمليـات تمويليـة إضافيـة اسـتباقية لسـداد مسـتحقات أصــل الديــن أن يبلغ حجـــم الديـــن فـــي العـــام القـــادم 2024م نحو حوالي 1,103 مليار ريال )مايعادل %25.9
مـن الناتـج المحلـي اإلجمالـي(، ونمـوه عنـد مسـتويات مسـتدامة علـى المـدى المتوسـط لتلبيـة
االحتياجـات التمويليـة. لألعــوام القادمــة، ولتمويــل بعــض المشــاريع االســتراتيجية، ولالنتفــاع مــن فــرص األسـواق لتنفيـذ عمليـات التمويـل الحكومـي البديـل بهـدف تمويـل اإلنفـاق التحولـي للمشـاريع الرأسـمالية والبنيـة التحتيـة، وبذلـك يتوقـع أن يبلـغ إجمالـي رصيـد الديـن العـام حوالـي 1,024 مليـار ريـال )مـا يعـادل %24.8 مـن الناتـج المحلـي اإلجمالـي فـي العـام 2023م(، كمـا أنـه مـن المقـدر",٦,24
ما العوامل التي تؤخذ بالاعتبار عند توقع الإيرادات؟,وش الأشياء اللي تاخذونها في الحسبان لما تتوقعون الإيرادات؟,"تأخــذ باالعتبــار التطــورات العالميــة والمحليــة، وحالــة عــدم اليقيــن بشــأن تداعيــات الظــروف الجيوسياســية القائمــة ومعــدالت التضخــم","وقــد أعــدت عــدة ســيناريوهات إليــرادات عــام 2024م تأخــذ باالعتبــار التطــورات العالميــة والمحليــة، وحالــة عــدم اليقيــن بشــأن تداعيــات الظــروف الجيوسياســية القائمــة ومعــدالت التضخــم، حيــث شــملت علــى الســيناريو األســاس -وهــو المعتمــد فــي الميزانيــة- باإلضافــة إلــى سـيناريوهات بإيـرادات أقـل وأعلـى مـن السـيناريو األسـاس، وفـي ظـلّ وجـود مسـاحةٍ ماليـة مرنـة؛ تُ سـهم هـذه السـيناريوهات فـي تحسـين التخطيـط المالـي وتمكيـن الحكومـة مـن التعامـل مـع أي منهــا. وســتعرض هــذه الســيناريوهات فــي جزئيــة أبــرز المخاطــر والتحديــات الماليــة واالقتصاديــة فـي هـذا التقريـر.",٧,25
هل تعافى الاقتصاد العالمي من اثار جائحة كورونا؟,هل الاقتصاد العالمي رجع طبيعي بعد كورونا؟,"لا يـزال االقتصـاد العالمـي يواجـه العديـد مـن الصعوبـات والتحديـات منـذ جائحـة كورونـا مـرورا باألحــداث الجيوسياســية ومــا صاحبهــا مــن تعطــل سالســل اإلمــداد وارتفــاع معــدالت التضخــم، فضــا ً عــن ارتفــاع نســب الديــن لهــذا العــام","لا يـزال االقتصـاد العالمـي يواجـه العديـد مـن الصعوبـات والتحديـات منـذ جائحـة كورونـا مـرورا باألحــداث الجيوسياســية ومــا صاحبهــا مــن تعطــل سالســل اإلمــداد وارتفــاع معــدالت التضخــم، فضــا ً عــن ارتفــاع نســب الديــن لهــذا العــام، إذ تأثــر النمــو االقتصــادي العالمــي وارتفعــت حالــة عــدم اليقيــن؛ فــي ظــل تزايــد المخاطــر واتســاع االنقســام الجيوسياســي فــي العالــم، باإلضافــة إلـى تشـديد البنـوك المركزيـة للسياسـة النقديـة الحتـواء التضخـم، ممـا سـاهم فـي تباطـؤ النشـاط االقتصـادي لـدى الـدول المتقدمـة والـدول الصاعـدة والناميـة، وفـي مقدمتها الواليـات المتحدة والصيـن، إذ دفعـت هـذه العوامـل العديـــد مـــن المنظمـــات والمؤسســـات الدوليـــة إلـى خفـــض توقعـــات نمـــو االقتصـــاد العالمــي.",٩,28
ايهم اعلى نمـو اقتصـادات الـدول المتقدمــة ام نمو الاقتصاد العالمي في ٢٠٢٣؟,"مين اللي نموه أعلى في ٢٠٢٣، اقتصادات الدول المتقدمة ولا الاقتصاد العالمي؟",الاقتصاد العالمي,"وتشــير توقعــات صنــدوق النقــد الدولــي فــي تقريــر آفــاق االقتصــاد العالمــي لشــهر أكتوبــر 2023م إلــى تباطــؤ نمــو االقتصــاد العالمــي مــن %3.5 فــي عــام 2022م إلــى %3.0 فــي عــام 2023م ثـم %2.9 فـي عـام 2024م. مـع زيـادةٍ متوقعـة فـي حـدة تباطـؤ نمـو اقتصـادات الـدول المتقدمــة بشــكل عــام ليصــل النمــو إلــى %1.5 للعــام 2023م، و%1.4 للعــام 2024م مقارنــة بنحــو %2.6 فــي عــام 2022م.",٩,29
هل معدل التضخم في المملكة اعلى من معدل التضخم العالمي في ٢٠٢٣؟,هل التضخم عندنا أعلى من التضخم العالمي في ٢٠٢٣؟,التضخم العالمي,"وفيمــا يخــص المســتوى العــام ألســعار المســتهلك، فمــن المتوقــع أن يصــل متوســط معــدل التضخــم إلـى %2.6 بنهايـة العـام 2023 ً م، ويعـد هـذا المعـدل منخفضً ـا نسـبيا مقارنـة بالتضخـم العالمـي.

كمـا تشـير توقعـات صنـدوق النقـد الدولـي إلـى انخفـاض معـدل التضخـم العالمـي مـن %8.7 فــي عــام 2022م ليصــل إلــى %6.9 لعــام 2023م، و%5.8 لعــام 2024 ٍ م. مــع توقــع بانخفــاض معـدل التضخـم فـي اقتصـادات الـدول المتقدمـة مـن %7.3 فـي عـام 2022م ليصـل إلـى %4.6 لعــام 2023م ومــن %9.8 فــي عــام 2022 إلــى %8.5 لعــام 2023م فــي اقتصــادات األســواق الصاعــدة واالقتصــادات الناميــة، كمــا يتوقــع أن يصــل معــدل التضخــم فــي اقتصــادات الــدول المتقدمـة فـي عـام 2024م نحـو %3.0 و%7.8 فـي اقتصـادات األسـواق الصاعـدة واالقتصادات الناميـة علـى التوالـي.","٥، ٩","17, 31"
ما هو المستوى المحايد لمؤشر مديري المشتريات؟,وش المستوى اللي يعتبر طبيعي لمؤشر مديري المشتريات؟,٥٠ نقطة,"يعـد مؤشـر مديـري المشـتريات أحـد أهـم المؤشـرات االقتصاديـة التـي تتابـع حركـة القطـاع الخاص ً غيـر المنتـج للنفـط عالميـا، وقـد أثـرت حالة عدم االسـتقرار لألسـواق العالمية بشـكل كبيـر على اإلنتاج ً الصناعي عالمي ً ا خالل النصف األول من العام الحالي، حيث سجل المؤشر تذبذبا وانخفاضً ا في كثير مـن دول العالـم خـال الفتـرة مـن ينايـر إلـى أكتوبـر مـن عـام 2023م إلـى مـا دون المسـتوى المحايـد )50 نقطـة(، وتشـير هـذه القـراءات إلـى أن هنـاك تباطـؤ فـي النمـو االقتصـادي يسـود معظـم الـدول الموضحـة فـي الرسـم البيانـي أدنـاه، وتجـدر اإلشـارة إلـى أن دول االتحـاد األوروبـي والواليـات المتحدة األمريكيــة وكوريــا الجنوبيــة كانــت مــن أســرع الــدول التــي ســجلت انخفاضً ــا فــي أداء المؤشــر خــال ً الفتـرة؛ لتدخـل مؤخـر ً ا فـي منطقـة االنكمـاش؛ نتيجـة النخفـاض اإلنتـاج وإجمالـي الطلبـات الجديـدة ّ والتوظيـف.",١١,35
ما تأثير الازمة الروسية الأوكرانية على أسعار اسواق البترول؟,وش تأثير الأزمة اللي بين روسيا وأوكرانيا على أسعار البترول؟,باإلضافـة إلـى أن األسـعار فـي عـام 2022م كانـت مرتفعـة بسـبب توقعـات انخفـاض اإلمـدادات بشـكل كبيـر بسـبب األزمـة الروسـية األوكرانيـة,"انخفـض متوسـط أسـعار العقـود اآلجلـة لخـام برنـت منـذ بدايـة العـام 2023م وحتـى نهايـة شـهر
سـبتمبر مـن العـام نفسـه بنسـبة %20.0؛ ليسـجل حوالـي 81.9 دوالر للبرميـل مقابـل 102.5 دوالر
للبرميـل للفتـرة نفسـها مـن العـام السـابق. وبالرغـم مـن حالـة عـدم اليقيـن التـي مـرت بهـا األسـواق
العالميـة؛ سـجل متوسـط أسـعار العقـود اآلجلـة لخـام برنـت خـال شـهر سـبتمبر للعـام 2023 ً م ارتفاعا
ليصـل إلـى حوالـي 93 دوالر للبرميـل، ويعـزى انخفـاض متوسـط أسـعار البتـرول خـال العـام 2023م
مقارنة بالعام السـابق إلى اسـتمرار تشـديد السياسـات النقدية من قِ بل البنوك المركزية وارتفاع إنتاج
البتـرول مـن الـدول خـارج مجموعـة أوبـك بلـس، باإلضافـة إلـى أن األسـعار فـي عـام 2022م كانـت
مرتفعـة بسـبب توقعـات انخفـاض اإلمـدادات بشـكل كبيـر بسـبب األزمـة الروسـية األوكرانيـة.",١٢,37
ما هي أولويات اللجنة النقدية والمالية الدولية التابعة لصندوق النقد الدولي؟,وش أهم الأشياء اللي تركز عليها اللجنة النقدية والمالية الدولية اللي تابعة لصندوق النقد الدولي؟,"وأشـارت اللجنـة إلـى أولوياتهـا فـي المسـاهمة فـي خفـض معـدالت التضخـم العالمـي، وحمايـة
االســتقرار المالــي، وضمــان االســتدامة الماليــة، وااللتــزام بتحقيــق اســتقرار األســعار","وأشـارت اللجنـة إلـى أولوياتهـا فـي المسـاهمة فـي خفـض معـدالت التضخـم العالمـي، وحمايـة االســتقرار المالــي، وضمــان االســتدامة الماليــة، وااللتــزام بتحقيــق اســتقرار األســعار",١٤,47
ما هو أعلى معدل نمو حققته الأنشطة غير النفطية في الربع الثاني من عام 2023م؟,وش أعلى نمو حققته الأنشطة غير النفطية في الربع الثاني من 2023؟,13.50%,"وفقً ـا للبيانـات الفعليـة الصـادرة عـن الهيئـة العامـة لإلحصـاء؛ حقق الناتـج المحلي اإلجمالي لألنشـطة غيـر النفطيـة للربـع األول مـن العـام 2023 ً م نمـوا بمعـدل ،%5.4 وواصـل أداءه اإليجابـي خـال الربـع الثانـي بنمـو بلـغ %5.3؛ ممـا يعكـس نجـاح جهـود المملكـة فـي تعزيـز ً دور القطـاع الخـاص والتنـوع االقتصـادي التـي انعكسـت إيجابيـا علـى أداء األنشـطة غيـر النفطيــة، إذ ســجل نشــاط الخدمــات الجماعيــة واالجتماعيــة والشــخصية ونشــاط النقــل والتخزيــن واالتصــاالت النمــو األعلــى بمعــدل %13.5 و%9.9 علــى التوالــي للربــع الثانــي 2023 ً م، فيمــا ســجل نشــاط تجــارة الجملــة والتجزئــة والمطاعــم والفنــادق نمــوا بمعــدل ،%7.4 يليـه نشـاط الصناعـات التحويليـة -باسـتثناء تكريـر الزيـت- بمعـدل نمـو .%4.3 كمـا ً سـجل نشـاط التشـييد والبنـاء نمـوا بلـغ %2.4 للفتـرة نفسـها مـن العـام الحالـي",١٥,53
ما هو معدل النمو في عدد السياح الوافدين منذ بداية العام الحالي وحتى شهر يوليو؟,كم زاد عدد السياح اللي جو عندنا من بداية السنة لين شهر يوليو؟,58%,"كمــا عــام 2025 ً م، ونتيجــة لذلــك شــهدت الســحوبات النقديــة ّ سـاهمت الجهـود المبذولـة فـي تطويـر القطـاع السـياحي إلـى تحسـن االسـتهالك الخـاص، ً إذ حققـت المملكـة المركـز الثانـي عالميـا فـي نمـو عـدد السـياح الوافديـن منـذ بدايـة العـام الحالــي وحتــى شــهر يوليــو بنســبة %58 مقارنــة للفتــرة نفســها مــن العــام 2019م وفقً ــا لتقريـر السـياحة العالمـي.",١٦,60
ما هو معدل البطالة بين السعوديين في الربع الثاني من عام 2023؟,كم نسبة البطالة بين السعوديين في الربع الثاني من 2023؟,8.30%,"كمــا انخفضــت معــدالت البطالــة بيــن الســعوديين إلــى %8.3 بانخفـاض مقـداره 0.2 نقطـة مئويـة مقارنـة بالربـع األول، إذ تُ عـد هـذه النسـبة ثانـي أقـل معـدل منـذ أكثـر مـن عقديـن",١٧,65
ما هو المستهدف لرؤية السعودية 2030 بشأن مشاركة المرأة في سوق العمل؟,وش الهدف اللي حاطينه في رؤية 2030 بالنسبة لمشاركة الحريم في الشغل؟,30%,"واسـتمرت معـدالت مشـاركة المـرأة فـي سـوق العمـل فـي االرتفـاع بشـكل مطّ ـرد، إذ ارتفـع المعـدل فـي الربـع الثانـي مـن العـام 2023م ليصـل إلـى %35.3 متجـاوزاً بذلـك مســتهدف رؤيــة الســعودية 2030 عنــد مســتوى 30 ً ،% ممــا يعكــس جليــا ارتفــاع نســبة الوعــي
بأهميـة مشـاركة المـرأة ونجـاح خطـط ومبـادرات تمكيـن المـرأة التـي أطلقتهـا الحكومـة تدريجيـاً
خـال السـنوات الماضيـة لتواصـل المـرأة شـراكتها الفعالـة وتوسـع حضورهـا فـي التنميـة الوطنيـة،
وتزيـد معـدل إسـهامها فـي النمـو بجميـع المجـاالت. ",١٧,70
