question_formal,question_conversational,answer,context,page,chunck
كم عدد الوظائف التي أضيفت في القطاع الخاص بنهاية الربع الثالث من عام 2023م؟,كم وظيفة جديدة صارت في القطاع الخاص بنهاية الربع الثالث من 2023؟,1.122 مليون وظيفة,"وسـاهمت الجهـود المتواصلـة لتوطيـن الوظائـف النوعيـة وتوفيـر الوظائـف المسـتدامة إلـى زيـادة أعـداد العامليـن السعوديين في القطاع الخاص بنهاية الربع الثالث من العام 2023م بنحو 153 ألف عامل، بنمو مقـداره %7.2 مقارنـة بنهايـة الربـع الثالـث مـن العـام 2022م، وبذلـك بلـغ إجمالـي عـدد العامليـن السـعوديين فـي القطـاع الخـاص 2.3 ً مليـون موظفـاً وموظفـة، كمـا بلـغ إجمالـي الوظائـف التـي ُضيفــت فــي االقتصــاد الســعودي فــي القطــاع الخــاص بنهايــة الربــع الثالــث مــن العــام 2023م أ 3 وظيفــة مقارنــة بالربــع الثالــث مــن العــام 2022م، تشــمل الســعوديين حوالــي 1.122 مليــون ّ وغيـر السـعوديين.",١٧,68
ما هو معدل النمو في الرقم القياسي لأسعار المستهلك منذ بداية العام الحالي وحتى شهر أكتوبر؟,كم زادت أسعار الأشياء اللي نشتريها من بداية السنة لين شهر أكتوبر؟,2.50%,"بحسـب البيانـات الفعليـة للهيئـة العامـة لإلحصـاء؛ ارتفـع متوسـط النمـو فـي الرقـم القياسـي ألسـعار المسـتهلك )معـدل التضخـم( منـذ بدايـة العـام الحالـي حتـى شـهر أكتوبـر بمعـدل %2.5 ً مقارنـة بالفتـرة نفسـها مـن العـام السـابق، إذ سـجل قسـم السـكن والميـاه والكهربـاء والغـاز وأنواع وقــود أخــرى منــذ بدايــة العــام حتــى أكتوبــر مــن عــام 2023م أعلــى نســبة ارتفــاع بيــن األقســام الرئيســة فــي المؤشــر العــام لألســعار بنســبة ،%8.0 يليــه المطاعــم والفنــادق بنســبة ،%4.5 ثــم قسـم التعليـم وقسـم الترفيـه والثقافـة بنسـب بلغـت %2.4 و%1.6علـى التوالـي.",١٨,71
ما هي نسبة الواردات الوسيطة والرأسمالية من إجمالي الواردات؟,كم نسبة الواردات اللي نستخدمها في الصناعة والإنتاج من كل الواردات اللي تجينا؟,65.40%,"وعلـى الرغـم مـن ارتفـاع الـواردات السـلعية إال أن غالبيتهـا واردات وســيطة ورأســمالية والتــي تدخــل فــي عمليــة اإلنتــاج وتشــكل مــا نســبته %65.4 مــن إجمالــي الـواردات، حيـث نمـت الـواردات الوسـيطة والرأسـمالية بنحـو %10.9 خـال الفتـرة نفسـها مؤكـدةً النظـرة اإليجابيـة المسـتقبلية حيـال أداء القطـاع غيـر النفطـي علـى المـدى القصيـر والمتوسـط.",١٩,80
ما هو معدل نمو الائتمان الممنوح للقطاع الخاص حتى شهر سبتمبر من عام 2023م؟,كم زادت القروض اللي عطيتوها للقطاع الخاص لين شهر سبتمبر من 2023؟,9.30%,"حيـث ارتفعـت إجمالـي الموجـودات لـدى البنـوك خـال األربـاع الثالثـة األولـى مـن العـام 2023م بمقـدار %9.4 لتصـل إلـى 3.9 ترليـون ريـال مقارنـة بــ 3.56 ترليـون ريـال للفتـرة نفسـها مـن العـام السـابق، متجـاوزة بذلـك أحـد مسـتهدفات برنامـج تطويـر القطـاع المالـي لعـام 2025م لوصـول الموجـودات البنكيـة إلـى 3.5 ترليـون ريـال، ويعـود هـذا النمـو إلـى الزيـادة فـي اإلقـراض؛ إذ تمثـل محفظـة القـروض مـا يزيـد علـى %65 مـن إجمالـي األصـول. وبالنظـر إلـى محفظـة القـروض عـن كثـب، يظهـر أن االئتمــان الممنــوح للقطــاع الخــاص نمــا بحوالــي %9.3 لشــهر ســبتمبر مــن عــام 2023م مقارنــة بالفتــرة نفسـها مـن العـام 2022م، فيمـا تراجعـت القـروض االسـتهالكية فـي نهايـة الربـع الثالـث بمقـدار %0.8 مقارنـة بالفتـرة المماثلـة مـن العـام السـابق.",٢٠,87
ما هي نسبة النمو في التسهيلات الممنوحة للمنشآت الصغيرة والمتوسطة ومتناهية الصغر في نهاية الربع الثالث من عام 2023م؟,كم زادت التسهيلات اللي عطيتوها للشركات الصغيرة والمتوسطة ومتناهية الصغر بنهاية الربع الثالث من 2023؟,18.80%,"وسـجلت القـروض العقاريـة التـي منحتهـا البنـوك التجاريـة لألفـراد والشـركات فـي نهايـة الربـع الثالـث مـن العـام 2023م ارتفاعـاً سـنوياً بنسـبة %12.3 لتصـل إلـى مـا يقـارب 747.2 مليـار ريـال، ً مشــكّ لة بذلــك مــا نســبته 29.4 ُ % مــن إجمالــي االئتمــان المصرفــي، ويعــزى هــذا النمــو بشــكل رئيــس إلــى برامــج الحكومــة الهادفــة إلــى زيــادة نســبة تملــك المواطنيــن للمســاكن. وقــد نمــت التســهيالت الممنوحــة للمنشــآت الصغيــرة والمتوســطة ومتناهيــة الصغــر بنســبة %18.8 خــال الفتـرة نفسـها برغـم ارتفـاع تكاليـف التمويـل.",٢١,90
ما هو معدل النمو في عرض النقود (ن3) حتى نهاية شهر سبتمبر من عام 2023م؟,كم زاد عرض النقود (ن3) لين نهاية شهر سبتمبر من 2023؟,8.00%,"مـن جهـة أخـرى، فقـد سـجل عـرض النقـود رتفاعـا خـال شـهر سـبتمبر مـــن عـــام 2023م بحوالـــي %8.0 علـى أسـاس سـنوي؛ ليصـل عنـد مسـتوى 2.66 ً تريليـون ريـال؛ نتيجـة لنمــو الودائــع
الزمنيــة واالدخاريـة بنحـو ،%49.4 باإلضافـة إلـى النقـد المتـداول خـارج المصـارف بحوالـي .%4.3 ",٢١,91
ما هو معدل نمو الودائع تحت الطلب حتى نهاية شهر سبتمبر من عام 2023م؟,كم زادت الودائع تحت الطلب لين نهاية شهر سبتمبر من 2023؟,انخفاض بنسبة 4.8%,"كمــا شــهدت الودائــع األخــرى شــبه النقديــة انخفاضً ــا بنحــو ،%3.8 فــي حيــن انخفضــت الودائـــع تحــت الطلــب بحوالـي .%4.8",٢١,92
ما هو معدل انخفاض مؤشر السوق المالية السعودية (تاسي) بنهاية الربع الثالث من عام 2023م مقارنة بالفترة نفسها من العام الماضي؟,كم نقص مؤشر سوق الأسهم (تاسي) بنهاية الربع الثالث من 2023 مقارنة بنفس الفترة من السنة اللي قبلها؟,3.06%,"وقـد تأثـرت بذلـك أسـواق األسـهم فـي المنطقـة، إال أن تأثيـر ذلـك علـى السـوق الماليـة السـعودية كان طفيفـا،ً حيـث انخفـض مؤشـر السـوق الرئيسـة )تاسـي( بنسـبة %3.06 بنهايـة الربـع الثالـث مـن العـام 2023م مقارنـة بالفتـرة نفسـها مـن العـام الماضـي، وأغلـق المؤشـر عنـد مسـتوى 11,055 نقطـة منخفضـاً بــ 349.36 نقطـة.",٢٢,99
ما هو معدل النمو المتوقع للناتج المحلي الإجمالي الحقيقي في المملكة لعام 2024؟,كم تتوقعون يكون نمو الاقتصاد (الفلوس اللي نكسبها كلنا) في 2024؟,4.40%,"وفــي ضــوء التطــورات المحليــة اإليجابيــة تمــت مراجعــة معــدالت النمــو االقتصــادي فــي المملكــة لعــام 2024م والمــدى المتوســط، ومــن المتوقــع اســتمرار المحافظــة علــى معــدالت إيجابيــة للنمــو االقتصــادي خــال عــام 2024م وعلــى المــدى المتوســط بقيــادة القطــاع غيــر النفطـي، عبـر الجهـود المبذولـة نحـو تسـريع عمليـة التنويـع االقتصـادي؛ لضمان النمـو االقتصادي المســتدام فــي ظــل اإلصالحــات. حيــث تشــير التقديــرات األوليــة لعــام 2024م إلــى نمــو الناتــج المحلــي اإلجمالــي الحقيقــي بمعــدل ،%4.4 مدعومــاً بالنمــو المتوقــع فــي الناتــج المحلــي اإلجمالـي لألنشـطة غيـر النفطيـة، عبـر الجهـود المبذولـة نحـو تعزيـز وتطويـر القطـاع الخـاص ورفـع ُ مسـاهمته ليقـود النمـو االقتصـادي، ممـا يسـهم فـي خلـق فـرص وظيفيـة جديـدة ومسـتدامة فـي سـوق العمـل، واالسـتمرار فـي تنفيـذ برامـج ومشـاريع رؤيـة السـعودية 2030 بصفتهـا أداةً رئيســية لتحقيــق أهــداف التحــول االقتصــادي",٢٣,106
ما هي نسبة مساهمة المستثمر الأجنبي في السوق المالية السعودية بنهاية الربع الثالث من عام 2023م؟,كم نسبة الأجانب اللي يستثمرون في سوق الأسهم عندنا بنهاية الربع الثالث من 2023؟,12.50%,"رتفعـت قيمـة ملكيـة المسـتثمر األجنبـي بمـا يزيـد عـن 3.7 مليـار ريـال بنهايـة الربـع الثالـث مـن عـام 2023م مقارنـة بالفتـرة نفسـها مـن العـام الماضـي، إال أن نسـبة ملكيـة المسـتثمر األجنبـي قـد انخفضـت بشـكل طفيـف لتصبـح %12.5 مقارنـة بحوالـي %13.4 للفتـرة نفسـها مـن العـام السـابق، ويعـود ذلـك لنمـو حصـة المسـتثمر السـعودي بوتيـرة أعلـى مـن النمو للمسـتثمر األجنبي.",٢٣,107
"ما هو الهدف من برنامج ""شريك""؟","وش الهدف من برنامج ""شريك""؟",تعزيز التعاون بين القطاعين العام والخاص وزيادة الستثمارات المحلية لشركات القطاع الخاص.,"تُ شــير التوقعــات إلــى االســتمرار فــي تبنــي السياســات واإلصالحــات المناســبة؛ لتعزيــز البيئــة االسـتثمارية والمواصلـة فـي تذليـل عقبـات االسـتثمار فـي المملكـة، وتمكيـن المسـتثمرين مـن ُ الوصـول إلـى الفـرص االسـتثمارية، تحـت مظلّ ـة االسـتراتيجية الوطنيـة لالسـتثمار؛ ممـا يسـهم فـي تحقيــق أهــداف رؤيــة الســعودية ،2030 التــي تهــدف إلــى رفــع مســاهمة القطــاع الخــاص فــي الناتـج المحلـي اإلجمالـي إلـى %65 بنهايـة عـام 2030م مقارنـة بمسـاهمة القطـاع الخـاص غيـر النفطـي فـي الناتـج المحلـي اإلجمالـي بنسـبة %41 خـال عـام 2022م، عبـر تحقيـق شـراكة فاعلـة مـع القطـاع الخـاص وتعزيـز نمـو مسـتدام عبـر العديـد مـن البرامـج مثـل برنامـج ”شـريك“ الهـادف إلـى تعزيـز التعـاون بيـن القطاعييـن العـام والخـاص وزيـادة االسـتثمارات المحليـة لشـركات القطـاع الخـاص لتصـل إلـى 5 تريليـون ريـال بحلـول عـام 2030م، وبرنامـج ”التخصيـص“ الـذي يهـدف إلـى تعزيـز دور القطـاع الخـاص فـي تقديـم الخدمـات وإتاحـة األصـول الحكوميـة أمامـه.",٢٤,108
ما هو الهدف من برنامج التخصيص؟,وش الهدف من برنامج التخصيص؟,تعزيز دور القطاع الخاص في تقديم الخدمات وإتاحة الوصول الحكومي أمامه.,"تُ شــير التوقعــات إلــى االســتمرار فــي تبنــي السياســات واإلصالحــات المناســبة؛ لتعزيــز البيئــة االسـتثمارية والمواصلـة فـي تذليـل عقبـات االسـتثمار فـي المملكـة، وتمكيـن المسـتثمرين مـن ُ الوصـول إلـى الفـرص االسـتثمارية، تحـت مظلّ ـة االسـتراتيجية الوطنيـة لالسـتثمار؛ ممـا يسـهم فـي تحقيــق أهــداف رؤيــة الســعودية ،2030 التــي تهــدف إلــى رفــع مســاهمة القطــاع الخــاص فــي الناتـج المحلـي اإلجمالـي إلـى %65 بنهايـة عـام 2030م مقارنـة بمسـاهمة القطـاع الخـاص غيـر النفطـي فـي الناتـج المحلـي اإلجمالـي بنسـبة %41 خـال عـام 2022م، عبـر تحقيـق شـراكة فاعلـة مـع القطـاع الخـاص وتعزيـز نمـو مسـتدام عبـر العديـد مـن البرامـج مثـل برنامـج ”شـريك“ الهـادف إلـى تعزيـز التعـاون بيـن القطاعييـن العـام والخـاص وزيـادة االسـتثمارات المحليـة لشـركات القطـاع الخـاص لتصـل إلـى 5 تريليـون ريـال بحلـول عـام 2030م، وبرنامـج ”التخصيـص“ الـذي يهـدف إلـى تعزيـز دور القطـاع الخـاص فـي تقديـم الخدمـات وإتاحـة األصـول الحكوميـة أمامـه.",٢٤,108
ما هي نسبة مساهمة القطاع الخاص غير النفطي في الناتج المحلي الإجمالي لعام 2022م؟,كم نسبة مساهمة القطاع الخاص غير النفطي في الاقتصاد (الفلوس اللي نكسبها كلنا) في 2022؟,41%,"تُ شــير التوقعــات إلــى االســتمرار فــي تبنــي السياســات واإلصالحــات المناســبة؛ لتعزيــز البيئــة االسـتثمارية والمواصلـة فـي تذليـل عقبـات االسـتثمار فـي المملكـة، وتمكيـن المسـتثمرين مـن ُ الوصـول إلـى الفـرص االسـتثمارية، تحـت مظلّ ـة االسـتراتيجية الوطنيـة لالسـتثمار؛ ممـا يسـهم فـي تحقيــق أهــداف رؤيــة الســعودية ،2030 التــي تهــدف إلــى رفــع مســاهمة القطــاع الخــاص فــي الناتـج المحلـي اإلجمالـي إلـى %65 بنهايـة عـام 2030م مقارنـة بمسـاهمة القطـاع الخـاص غيـر النفطـي فـي الناتـج المحلـي اإلجمالـي بنسـبة %41 خـال عـام 2022م، عبـر تحقيـق شـراكة فاعلـة مـع القطـاع الخـاص وتعزيـز نمـو مسـتدام عبـر العديـد مـن البرامـج مثـل برنامـج ”شـريك“ الهـادف إلـى تعزيـز التعـاون بيـن القطاعييـن العـام والخـاص وزيـادة االسـتثمارات المحليـة لشـركات القطـاع الخـاص لتصـل إلـى 5 تريليـون ريـال بحلـول عـام 2030م، وبرنامـج ”التخصيـص“ الـذي يهـدف إلـى تعزيـز دور القطـاع الخـاص فـي تقديـم الخدمـات وإتاحـة األصـول الحكوميـة أمامـه.",٢٤,108
ما هو الهدف من مشروع الاستثمار والتخصيص للأندية الرياضية؟,وش الهدف من مشروع الاستثمار والتخصيص للأندية الرياضية؟,تحقيق مستهدفات رؤية السعودية 2030 في القطاع الرياضي.,"وتســتمر رحلــة تنويــع االقتصــاد عبــر االســتفادة مــن القطاعــات الواعــدة، إذ تعمــل المملكــة ّ علـى بنـاء قطـاع رياضـي فعـال وذلـك بتعزيـز دور القطـاع الخـاص وتمكينـه للمسـاهمة فـي تنميـة ُطلِ ــق ”مشــروع االســتثمار والتخصيــص لألنديــة الرياضيــة“ تحقيقً ــا لمســتهدفات القطــاع، فقــد أ رؤيـة السـعودية 2030 فـي القطـاع الرياضـي.",٢٥,115
ما هو المستهدف للناتج المحلي الصناعي في عام 2030م وفقاً للستراتيجية الوطنية للصناعة؟,كم تتوقعون يكون انتاج المصانع في 2030 حسب الخطة اللي حاطينها؟,895 مليار ريال,"تسـتكمل المملكـة جهودهـا فـي تطويـر القطـاع الصناعـي كأحـد أهـم القطاعـات الحيويـة فـي االقتصـاد السـعودي، عبـر بلـورة القاعـدة الصناعيـة مـن خـال ”االسـتراتيجية الوطنيـة للصناعـة“ التـي تركـز علـى 12 ً قطاع ً ـا فرعيـا لتنويـع االقتصـاد الصناعـي ومضاعفـة الناتـج المحلـي الصناعـي بنحـو ثـاث مـرات مقارنـة بعـام 2020م؛ ليصـل إلـى 895 مليـار ريـال فـي عـام 2030م، باإلضافـة إلــى مضاعفــة قيمــة الصــادرات الصناعيــة لتصــل إلــى 557 مليــار ريــال فــي عــام 2030م",٢٥,113
ما هي نسبة العجز المتوقعة في الميزانية لعام 2023م كنسبة مئوية من الناتج المحلي الإجمالي؟,كم تتوقعون يكون العجز في الميزانية في 2023 كنسبة من الاقتصاد (الفلوس اللي نكسبها كلنا)؟,2.00%,"تسـتكمل حكومـة المملكـة تنفيـذ المبـادرات واإلصالحـات الهيكليـة علـى الجانـب االقتصـادي والمالـي فـي ظـل رؤيـة السـعودية ،2030 حيـث تُ ركّ ـز فـي مسـيرتها علـى تبنـي سياسـات ماليـة تسـاهم في تحقيق االسـتقرار واالسـتدامة للميزانية العامة للدولة، في ظل التوجه نحو التوسـع فـي اإلنفـاق علـى االسـتراتيجيات المناطقيـة والقطاعيـة، والـذي بـدوره يسـهم فـي تحقيـق النمـو االقتصـادي المسـتدام، وتشـير التقديـرات المحدثـة لميزانيـة عـام 2023م إلـى تحقيـق عجـز فـي الميزانيـة بنحـو 82 مليـار ريـال )أي مـا يعـادل %2.0 مـن الناتـج المحلـي اإلجمالـي(، مـع الحفـاظ على مسـتويات آمنـة مـن االحتياطيـات الحكوميـة والديـن العـام بمـا يتماشـى مـع مبـادئ االسـتدامة المالية.",٢٨,121
ما هو السبب الرئيسي وراء الانخفاض المتوقع في إجمالي الإيرادات لعام 2023م؟ ,وش السبب الرئيسي ورا نقص الإيرادات اللي متوقعينه في 2023؟,انخفاض أسعار النفط.,"مــن المتوقــع أن يبلــغ إجمالــي اإليــرادات حوالــي 1,193 مليــار ريــال لعــام 2023م بانخفــاض نسـبته %5.9 مقارنـة بالعـام السـابق، ويعـود ذلـك بشـكل رئيـس إلـى انخفـاض أسـعار النفـط للعـام الحالـي مقارنـة بأسـعار النفـط فـي عـام 2022م.",٢٩,125
ما هو السبب الرئيسي لزيادة الإنفاق على باب المنافع الاجتماعية لعام 2023م؟,وش السبب الرئيسي لزيادة المصاريف على باب المنافع الاجتماعية في 2023؟,"استمرار الدعم المالي الإضافي وفتح التسجيل في برنامج حساب المواطن، بالإضافة إلى زيادة الحد الأدنى الأساسي لحساب المعاش لمستحقي الضمان الاجتماعي.","وعنــد المقارنــة مــع المنصــرف الفعلــي للعــام المالــي 2022م، يتوقــع أن ترتفــع النفقــات التشــغيلية بنهايــة العــام المالــي 2023م بنحــو %5.0 لتصــل إلــى 1,072 مليــار ريــال؛ الرتفــاع الصـرف علـى بـاب المنافـع االجتماعيـة بنسـبة %22.6 أي بحوالـي 18 ً مليـار ريـال؛ نظـرا السـتمرار ً الدعـم المالـي اإلضافـي وفتـح التسـجيل فـي برنامـج حسـاب المواطـن، إضافـة إلـى زيـادة الحـد األدنـى األساسـي الحتسـاب المعـاش لمسـتحقي الضمـان االجتماعـي.",٣١,132
ما هو السبب الرئيسي لزيادة نفقات التمويل لعام 2023م؟,وش السبب الرئيسي لزيادة مصاريف التمويل في 2023؟,ارتفاع أسعار الفائدة وحجم محفظة الدين العام.,كمــا يتوقــع أن ترتفــع نفقــات التمويــل بنســبة %27.1 أي بحوالــي 8 مليـار ريـال مقارنـة بالمنصـرف الفعلـي لعـام 2022 ً م؛ مدفوعـة بارتفـاع أسـعار الفائـدة وحجـم محفظــة الديــن العــام.,٣٢,136
ما هو السبب الرئيسي وراء ارتفاع تعويضات العاملين لعام 2023م؟,وش السبب الرئيسي ورا زيادة رواتب الموظفين في 2023؟,"أثر العلاوة السنوية، بالإضافة إلى استمرار تحول عدد من الجهات الحكومية من نظام الخدمة المدنية إلى نظام العمل والمخصصات المالية الكتوارية المرتبطة بها","فـي حيـن يتوقـع ارتفـاع الصـرف علـى بـاب تعويضـات العامليـن بنسـبة %4.5 أي بنحـو 23 مليـار ريـال مقارنـة بالمنصـرف الفعلـي لعـام 2022م، ويعـود ذلـك بشـكل رئيـس إلـى أثـر العـاوة ً السـنوية، إضافـة إلـى اسـتمرار تحـول عـدد مـن الجهـات الحكوميـة مـن نظـام الخدمـة المدنيـة إلـى نظـام العمـل والمخصصـات الماليـة اإلكتواريـة المرتبطـة بهـا.",٣٢,136
ما هو إجمالي عمليات التمويل الحكومية حتى الربع الثالث من عام 2023م؟,كم صار مجموع عمليات التمويل الحكومية لين الربع الثالث من 2023؟,129 مليار ريال.,"وقـد بلـغ إجمالـي عمليـات التمويـل الحكوميـة حتـى الربـع الثالـث مـن العـام 2023م حوالـي 129 مليـــار ريـــال )يشـمل سـداد مدفوعـات أصـل الديـن بحوالـي 125 مليـار ريـال( إذ يشـكل سـداد أصـل الديـن المحلـي نحـو 56 مليـار ريـال وسـداد أصـل الديـن الخارجـي نحـو 70 مليـار ريـال، بإجمالـي رصيـد الديـن حتـى الربـع الثالـث مـن العـام 2023م نحـو 994 مليـار ريـال.",٣٤,145
ما هو إجمالي الدين العام المتوقع في نهاية عام 2023م؟,كم تتوقعون يكون مجموع الديون اللي على الحكومة بنهاية 2023؟,"1,024 مليار ريال.","ويتوقـــع أن يبلـــغ رصيـــد الديــــن العــــام 1,024 مليـــار ريـــال )أي مـا يعـادل %24.8 مــــن الناتــــج المحلــي اإلجمالي( فـــي نهايـــة العـــام 2023م مقارنــة مــع 990 مليــار ريـال )أي مـا يعـادل %23.8 مـــن الناتـــج المحلـــي اإلجمالي( للعـــام الســابق.",٣٥,153
ما هي نسبة الدين العام المتوقعة كنسبة مئوية من الناتج المحلي الإجمالي في نهاية عام 2023م؟,كم تتوقعون تكون نسبة الدين اللي على الحكومة من الاقتصاد (الفلوس اللي نكسبها كلنا) بنهاية 2023؟,24.80%,"ويتوقـــع أن يبلـــغ رصيـــد الديــــن العــــام 1,024 مليـــار ريـــال )أي مـا يعـادل %24.8 مــــن الناتــــج المحلــي اإلجمالي( فـــي نهايـــة العـــام 2023م مقارنــة مــع 990 مليــار ريـال )أي مـا يعـادل %23.8 مـــن الناتـــج المحلـــي اإلجمالي( للعـــام الســابق.",٣٥,153
ما هو سبب تراجع إيرادات ضريبة الدخل والأرباح والمكاسب الرأسمالية في عام 2024 مقارنة بالعام 2023؟,ليش نقصت ايرادات ضريبة الدخل والأرباح والمكاسب الرأسمالية في 2024 مقارنة بـ 2023؟,"تحصيل إيرادات غير متكررة خلال عام 2023 تتعلق بأعوام سابقة، بالإضافة إلى أثر مبادرة إلغاء الغرامات والإعفاء من العقوبات المالية التي تنتهي بنهاية عام 2023.","ومـن المتوقّ ـع أن تبلـغ إيـرادات الضرائـب علـى الدخـل واألربـاح والمكاسـب الرأسـمالية 31 مليـار ريـال فـي عـام 2024م بتراجـع نسـبته %14.3 مقارنـة بالمتوقـع تحصيلـه فـي عـام 2023م، ويعـود ذلـك إلـى تحصيـل إيـرادات غيـر متكـررة خـال عـام 2023م تخـص أعـوام سـابقة، باإلضافـة إلـى أثـر مبـادرة إلغـاء الغرامـات واإلعفـاء مـن العقوبـات الماليـة التـي تنتهـي بنهايـة عـام 2023م والتـي سـاهمت فـي تحفيـز المكلفيـن بالسـداد عـن الفتـرات السـابقة",٣٧,158
ما هو سبب ارتفاع إيرادات الضرائب على السلع والخدمات في عام 2024 مقارنة بالعام 2023؟,ليش زادت ايرادات الضرائب على السلع والخدمات في 2024 مقارنة بـ 2023؟,"التوقعات الإيجابية لمؤشرات الإنفاق الاستهلاكي، بالإضافة إلى التقدم في مشروع الفاتورة الإلكترونية الذي سيساهم في رفع نسب الالتزام والتحسن في تحصيل الإيرادات الضريبية.","مـن المقـدر للضرائـب علـى السـلع والخدمـات أن تحقـق نحـو 279 مليـار ريـال فـي 2024م، بارتفـاع نسـبته %5.8 عـن المتوقـع تحقيقـه فـي عـام 2023م، وذلـك نتيجـة التوقعـات اإليجابيـة لمؤشـرات اإلنفـاق االسـتهالكي، باإلضافـة إلـى التقـدم فـي مشـروع الفوتـرة اإللكترونيـة الـذي سيسـاهم فـي رفـع نسـب االلتـزام والتحسـن فـي تحصيـل اإليـرادات الضريبيـة.",٣٧,159
ما هو سبب ارتفاع إيرادات الضرائب على التجارة والمعاملات الدولية في عام 2024 مقارنة بالعام 2023؟,ليش زادت ايرادات الضرائب على التجارة والمعاملات الدولية في 2024 مقارنة بـ 2023؟,استمرار نمو الواردات في العام القادم بالإضافة إلى أثر التضخم العالمي على أسعار السلع المستوردة.,"ويتوقــع أن تحقــق الضرائــب عــى التجــارة والمعامــات الدوليــة )الرســوم الجمركيــة( 21 مليــار ريــال فــي عــام 2024م بارتفــاع نســبته %3.0 عــن المتوقــع تحصيلــه بنهايــة عــام 2023م، مدفوعــة باســتمرار نمــو الــواردات فــي العــام القــادم باإلضافــة إلــى أثــر التضخــم العالمــي علــى أســعار الســلع المســتوردة.",٣٨,160
